Scopus-38425968-Analyze-Year
"Your query : (TITLE-ABS-KEY(a) AND ( LIMIT-TO ( SRCTYPE,""j"" ) )  AND ( LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""ch"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""bk"" ) ) )"
Number of results : 38425968
"PY","Papers"
"2021","2111244"
"2020","2451625"
"2019","2186233"
"2018","2035973"
"2017","1920935"
"2016","1868478"
"2015","1798477"
"2014","1727843"
"2013","1642007"
"2012","1536978"
"2011","1454718"
"2010","1348658"
"2009","1295535"
"2008","1210196"
"2007","1145070"
"2006","1083985"
"2005","990461"
"2004","908003"
"2003","849188"
"2002","833807"
"2001","822179"
"2000","799209"
"1999","767781"
"1998","758553"
"1997","750430"
"1996","736186"
"1995","638736"
"1994","610671"
"1993","571341"
"1992","540699"
"1991","526424"
"1990","504345"
